,Unnamed: 0,t1_score,t2_score,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
336,336,,,337,2012,22,4/22/2012,11,6,6,1,normal,0.0,6,0.0,5.0,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,
337,337,,,338,2012,11,4/23/2012,5,10,10,1,normal,0.0,5,46.0,0.0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
338,338,,,339,2012,2,4/24/2012,13,7,13,2,normal,0.0,7,0.0,8.0,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
339,339,,,340,2012,9,4/25/2012,8,2,8,2,normal,0.0,2,0.0,4.0,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
340,340,,,341,2012,2,4/26/2012,11,13,11,2,normal,0.0,11,18.0,0.0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
341,341,,,342,2012,8,4/27/2012,7,2,2,1,normal,0.0,7,37.0,0.0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
342,342,,,343,2012,12,4/28/2012,8,9,8,2,normal,0.0,8,7.0,0.0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
343,343,,,344,2012,7,4/28/2012,6,5,6,2,normal,0.0,6,47.0,0.0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
344,344,,,345,2012,8,4/29/2012,7,10,7,2,normal,0.0,7,1.0,0.0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
345,345,,,346,2012,6,4/29/2012,11,2,2,1,normal,0.0,2,0.0,5.0,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
346,346,,,347,2012,12,4/30/2012,9,6,9,2,normal,0.0,6,0.0,5.0,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
347,347,,,348,2012,22,5/1/2012,11,13,11,2,normal,0.0,11,13.0,0.0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
348,348,,,349,2012,11,5/1/2012,10,7,10,2,normal,0.0,7,0.0,6.0,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
349,349,,,350,2012,5,5/2/2012,5,8,8,1,normal,0.0,8,0.0,4.0,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
350,350,,,351,2012,2,5/3/2012,2,13,2,2,normal,0.0,2,1.0,0.0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
351,351,,,352,2012,12,5/4/2012,9,11,9,2,normal,0.0,9,10.0,0.0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
352,352,,,353,2012,7,5/5/2012,6,13,6,2,normal,0.0,6,7.0,0.0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
353,353,,,354,2012,9,5/5/2012,10,8,10,2,normal,0.0,10,43.0,0.0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
354,354,,,355,2012,6,5/6/2012,9,2,2,1,normal,0.0,2,0.0,2.0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
355,355,,,356,2012,5,5/6/2012,11,5,5,1,normal,0.0,5,0.0,5.0,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
356,356,,,357,2012,8,5/7/2012,7,6,7,2,normal,0.0,6,0.0,6.0,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
357,357,,,358,2012,2,5/8/2012,13,10,13,2,normal,0.0,10,0.0,7.0,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
