,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
327,328,0,1.56,2012,11,4/17/2012,11,10,11,2,normal,0,10,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,
328,329,0,0.995,2012,5,4/17/2012,13,5,13,2,normal,0,5,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,
329,330,1.092,1.011,2012,9,4/18/2012,8,6,8,2,normal,0,6,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
330,331,0,1.226,2012,1,5/10/2012,11,7,11,2,normal,0,7,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,
331,332,1.407,0,2012,12,4/19/2012,9,13,13,1,normal,0,9,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,
332,333,1.092,0.995,2012,9,4/20/2012,8,5,5,1,normal,0,5,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,
333,334,1.56,1.407,2012,12,4/21/2012,10,9,10,2,normal,0,9,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
334,335,0,1.226,2012,8,4/21/2012,13,7,7,1,normal,0,13,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,
335,336,1.303,1.092,2012,6,4/22/2012,2,8,2,2,normal,0,8,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
336,337,0,1.011,2012,22,4/22/2012,11,6,6,1,normal,0,6,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,
337,338,0.995,1.56,2012,11,4/23/2012,5,10,10,1,normal,0,5,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
338,339,0,1.226,2012,2,4/24/2012,13,7,13,2,normal,0,7,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
339,340,1.092,1.303,2012,9,4/25/2012,8,2,8,2,normal,0,2,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
340,341,0,0,2012,2,4/26/2012,11,13,11,2,normal,0,11,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
341,342,1.226,1.303,2012,8,4/27/2012,7,2,2,1,normal,0,7,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
342,343,1.092,1.407,2012,12,4/28/2012,8,9,8,2,normal,0,8,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
343,344,1.011,0.995,2012,7,4/28/2012,6,5,6,2,normal,0,6,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
344,345,1.226,1.56,2012,8,4/29/2012,7,10,7,2,normal,0,7,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
345,346,0,1.303,2012,6,4/29/2012,11,2,2,1,normal,0,2,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
346,347,1.407,1.011,2012,12,4/30/2012,9,6,9,2,normal,0,6,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
347,348,0,0,2012,22,5/1/2012,11,13,11,2,normal,0,11,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
348,349,1.56,1.226,2012,11,5/1/2012,10,7,10,2,normal,0,7,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
349,350,0.995,1.092,2012,5,5/2/2012,5,8,8,1,normal,0,8,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
350,351,1.303,0,2012,2,5/3/2012,2,13,2,2,normal,0,2,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
351,352,1.407,0,2012,12,5/4/2012,9,11,9,2,normal,0,9,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
352,353,1.011,0,2012,7,5/5/2012,6,13,6,2,normal,0,6,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
353,354,1.56,1.092,2012,9,5/5/2012,10,8,10,2,normal,0,10,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
354,355,1.407,1.303,2012,6,5/6/2012,9,2,2,1,normal,0,2,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
355,356,0,0.995,2012,5,5/6/2012,11,5,5,1,normal,0,5,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
356,357,1.226,1.011,2012,8,5/7/2012,7,6,7,2,normal,0,6,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
357,358,0,1.56,2012,2,5/8/2012,13,10,13,2,normal,0,10,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
358,359,1.092,0,2012,1,5/8/2012,8,11,11,1,normal,0,8,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,
359,360,1.303,0.995,2012,6,5/9/2012,2,5,5,1,normal,0,5,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
